name,date,forecast_description,temp,max_temp,min_temp,feelslike,preciptype,humidity,uvindex
Tokyo,2025-04-30,Similar temperatures continuing with a chance of rain Friday & Tuesday.,17.1,22.2,10.5,17.1,Normal,45.9,10.0
Tokyo,2025-05-01,Similar temperatures continuing with a chance of rain Friday & Tuesday.,19.0,22.2,16.7,19.0,rain,56.3,10.0
Tokyo,2025-05-02,Similar temperatures continuing with a chance of rain Friday & Tuesday.,16.9,18.7,15.9,16.9,rain,74.9,3.0
Tokyo,2025-05-03,Similar temperatures continuing with a chance of rain Friday & Tuesday.,18.4,22.5,14.1,18.4,Normal,55.1,10.0
Tokyo,2025-05-04,Similar temperatures continuing with a chance of rain Friday & Tuesday.,20.7,25.4,17.4,20.7,rain,46.6,9.0
Tokyo,2025-05-05,Similar temperatures continuing with a chance of rain Friday & Tuesday.,17.6,21.1,14.2,17.6,Normal,32.0,10.0
Tokyo,2025-05-06,Similar temperatures continuing with a chance of rain Friday & Tuesday.,18.6,21.2,16.5,18.6,rain,54.1,8.0
Tokyo,2025-05-07,Similar temperatures continuing with a chance of rain Friday & Tuesday.,17.5,18.2,16.9,17.5,rain,79.1,1.0
Tokyo,2025-05-08,Similar temperatures continuing with a chance of rain Friday & Tuesday.,19.9,23.3,16.5,19.9,Normal,69.2,7.0
Tokyo,2025-05-09,Similar temperatures continuing with a chance of rain Friday & Tuesday.,19.5,22.5,17.8,19.5,rain,71.2,4.0
Tokyo,2025-05-10,Similar temperatures continuing with a chance of rain Friday & Tuesday.,20.9,24.8,18.6,20.9,rain,75.0,7.0
Tokyo,2025-05-11,Similar temperatures continuing with a chance of rain Friday & Tuesday.,19.6,21.7,17.2,19.6,rain,83.1,3.0
Tokyo,2025-05-12,Similar temperatures continuing with a chance of rain Friday & Tuesday.,19.5,23.3,16.6,19.5,rain,67.3,8.0
Tokyo,2025-05-13,Similar temperatures continuing with a chance of rain Friday & Tuesday.,21.5,25.6,18.3,21.5,Normal,62.7,9.0
Tokyo,2025-05-14,Similar temperatures continuing with a chance of rain Friday & Tuesday.,24.5,31.3,20.2,24.3,Normal,54.4,9.0
